Country,plularism,effectiveness,participation,culture,liberties,Category
Norway,10.0,9.64,10.0,10.0,9.71,4
Iceland,10.0,9.29,8.89,10.0,9.71,4
Sweden,9.58,9.64,8.33,10.0,9.41,4
New Zealand,10.0,9.29,8.89,8.13,10.0,4
Denmark,10.0,9.29,8.33,9.38,9.12,4
Ireland,9.58,7.86,8.33,10.0,10.0,4
Canada,9.58,9.64,7.78,8.75,10.0,4
Finland,10.0,8.93,8.33,8.75,9.71,4
Australia,10.0,8.93,7.78,8.75,10.0,4
Switzerland,9.58,9.29,7.78,9.38,9.12,4
Netherlands,9.58,9.29,8.33,8.13,9.12,4
Luxembourg,10.0,8.93,6.67,8.75,9.71,4
Germany,9.58,8.57,8.33,7.5,9.41,4
United Kingdom,9.58,7.5,8.33,8.13,9.12,4
Uruguay,10.0,8.57,6.11,7.5,9.71,4
Austria,9.58,7.86,8.33,6.88,8.82,4
Mauritius,9.17,8.21,5.56,8.75,9.41,4
Malta,9.17,8.21,6.11,8.75,8.82,4
Spain,9.17,7.14,7.78,7.5,8.82,4
Costa Rica,9.58,7.5,6.67,7.5,9.12,4
South Korea,9.17,7.86,7.22,7.5,8.24,3
Japan,8.75,8.21,6.67,7.5,8.82,3
Chile,9.58,8.57,4.44,8.13,9.12,3
Estonia,9.58,8.21,6.67,6.88,8.53,3
United States,9.17,7.14,7.78,7.5,8.24,3
Cape Verde,9.17,7.86,6.67,6.88,8.82,3
Portugal,9.58,7.5,6.11,6.88,9.12,3
Botswana,9.17,7.14,6.11,7.5,9.12,3
France,9.58,7.5,7.78,5.63,8.53,3
Israel,9.17,7.5,8.89,7.5,5.88,3
Belgium,9.58,8.93,5.0,6.88,8.53,3
Republic of China (Taiwan),9.58,8.21,6.11,5.63,9.12,3
Italy,9.58,6.07,7.78,6.88,8.24,3
Czech Republic,9.58,6.79,6.67,6.88,8.53,3
Cyprus,9.17,6.43,6.67,6.88,8.82,3
Slovenia,9.58,6.79,6.67,6.25,8.24,3
Lithuania,9.58,6.43,6.11,6.25,9.12,3
Latvia,9.58,6.07,5.56,6.88,8.82,3
Greece,9.58,5.36,6.11,6.88,8.53,3
South Africa,7.42,7.5,8.33,5.0,7.94,3
India,9.17,6.79,7.22,5.63,7.35,3
Timor-Leste,9.08,6.79,5.56,6.88,7.65,3
Trinidad and Tobago,9.58,7.14,6.11,5.63,7.35,3
Slovakia,9.58,6.79,5.56,5.63,7.94,3
Panama,9.58,6.07,6.67,5.0,7.94,3
Bulgaria,9.17,6.43,7.22,4.38,7.94,3
Argentina,9.17,5.36,6.11,6.25,8.24,3
Jamaica,8.75,7.14,4.44,6.25,8.53,3
Suriname,9.17,6.43,6.67,5.0,7.65,3
Brazil,9.58,5.36,6.67,5.0,8.24,3
Colombia,9.17,6.79,5.0,5.63,8.24,3
Malaysia,7.75,7.86,6.67,6.25,5.88,3
Philippines,9.17,5.71,7.22,4.38,7.06,3
Poland,9.17,6.07,6.11,4.38,7.65,3
