NCESSchoolID,StateSchoolID,NCESDistrictID,StateDistrictID,LowGrade,HighGrade,SchoolName,District,CountyName,StreetAddress,City,State,ZIP,ZIP4-digit,Phone,LocaleCode,Locale,Charter,Magnet,TitleISchool,Title1SchoolWide,Students,Teachers,StudentTeacherRatio,FreeLunch,ReducedLunch
530486002475,1656,5304860,31025,06,08,10TH STREET SCHOOL,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH COUNTY,7204 27TH AVE NE,MARYSVILLE,WA,98271,,3606530665,22.0,Suburb: Midsize,No,,No,,167.0,7.3,22.9,20.0,7.0
530270001270,1646,5302700,6114,0 KG,12,49TH STREET ACADEMY,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK COUNTY,14619B NE 49TH STREET,VANCOUVER,WA,98682,6308.0,3606046700,12.0,City: Midsize,No,,Yes,Yes,123.0,10.1,12.2,75.0,7.0
530910002602,4500,5309100,34033,09,12,A G WEST BLACK HILLS HIGH SCHOOL,TUMWATER SCHOOL DISTRICT,THURSTON COUNTY,7741 LITTLEROCK ROAD SW,TUMWATER,WA,98512,7427.0,3607097800,13.0,City: Small,No,,No,,867.0,41.19,21.0,189.0,45.0
530003000001,2834,5300030,14005,-1 PK,06,A J WEST ELEMENTARY,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR COUNTY,1801 BAY AVE.,ABERDEEN,WA,98520,5510.0,3605382131,33.0,Town: Remote,No,,Yes,Yes,410.0,27.63,14.8,330.0,21.0
530825002361,1533,5308250,32081,09,12,A-3 MULTIAGENCY ADOLESCENT PROG,SPOKANE SCHOOL DISTRICT,SPOKANE COUNTY,610 E NORTHFOOTHILLS DRIVE,SPOKANE,WA,99207,,5094587466,12.0,City: Midsize,No,,No,,22.0,3.1,7.1,16.0,3.0
530966001632,3209,5309660,4246,0 KG,05,ABRAHAM LINCOLN ELEMENTARY,WENATCHEE SCHOOL DISTRICT,CHELAN COUNTY,1224 METHOW ST.,WENATCHEE,WA,98801,3552.0,5096635710,13.0,City: Small,No,,Yes,Yes,514.0,40.05,12.8,361.0,42.0
530354003069,5063,5303540,17401,09,12,ACADEMY OF CITIZENSHIP AND EMPOWERMENT,HIGHLINE SCHOOL DISTRICT,KING COUNTY,4424 SOUTH 188TH STREET,SEATAC,WA,98188,,2066316500,21.0,Suburb: Large,No,,Yes,Yes,433.0,18.28,23.7,295.0,24.0
530486003325,5209,5304860,31025,09,12,ACADEMY OF CONST AND ENGINEERING,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH COUNTY,8301 84TH STREET NE,MARYSVILLE,WA,98270,,3606576373,22.0,Suburb: Midsize,No,,Yes,Yes,325.0,16.2,20.1,131.0,35.0
530048003466,5372,5300480,27403,09,12,ACCELERATION ACADEMY,BETHEL SCHOOL DISTRICT,PIERCE COUNTY,16218 PACIFIC AVE,SPANAWAY,WA,98387,,3607256000,21.0,Suburb: Large,No,,No,,102.0,,,39.0,8.0
530267003471,5347,5302670,31002,09,12,ACCELERATION ACADEMY EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH COUNTY,3900 BROADWAY,EVERETT,WA,98201,,3607256000,12.0,City: Midsize,No,,,,0.0,,,0.0,0.0
530543002063,4247,5305430,31006,09,12,ACES HIGH SCHOOL,MUKILTEO SCHOOL DISTRICT,SNOHOMISH COUNTY,9700 HOLLY DRIVE,EVERETT,WA,98204,2678.0,4253663900,12.0,City: Midsize,No,,Yes,Yes,199.0,11.2,17.8,107.0,24.0
530531000799,2585,5305310,37507,0 KG,06,ACME ELEMENTARY,MOUNT BAKER SCHOOL DISTRICT,WHATCOM COUNTY,5200 TURKINGTON RD,ACME,WA,98220,9.0,3603832045,41.0,Rural: Fringe,No,,Yes,Yes,198.0,14.38,13.8,90.0,18.0
530948002611,4518,5309480,39207,0 KG,05,ADAMS ELEMENTARY,WAPATO SCHOOL DISTRICT,YAKIMA COUNTY,1309 S CAMAS AVE,WAPATO,WA,98951,9790.0,5098774180,41.0,Rural: Fringe,No,,Yes,Yes,318.0,24.09,13.2,265.0,0.0
530825001361,2156,5308250,32081,-1 PK,06,ADAMS ELEMENTARY,SPOKANE SCHOOL DISTRICT,SPOKANE COUNTY,2909-E 37 AVE,SPOKANE,WA,99223,4500.0,5093542000,12.0,City: Midsize,No,,Yes,Yes,327.0,22.41,14.6,193.0,46.0
530111000187,3259,5301110,32356,-1 PK,05,ADAMS ELEMENTARY,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE COUNTY,14707 E 8TH AVENUE,SPOKANE VALLEY,WA,99037,9660.0,5092284000,13.0,City: Small,No,,Yes,Yes,454.0,29.64,15.3,192.0,38.0
