StateFIPScode,CountyFIPScode,StateName,Name,July2013,July2012,July2011,July2010,July2009,July2008,July2007,July2006,July2005,July2004,July2003,July2002,July2001,July2000,July1999,July1998,July1997,July1995,July1993,July1989
1,1,AL,Autauga County,8055.0,8079.0,8060.0,7593.0,6907.0,5423.0,4686.0,4483.0,4492.0,3979.0,3594.0,3352.0,3035.0,2814.0,2700.0,2589.0,2771.0,3611.0,4608.0,3739.0
1,3,AL,Baldwin County,24402.0,23169.0,22184.0,20604.0,16545.0,10848.0,8627.0,8094.0,7836.0,6518.0,5659.0,4945.0,4129.0,4178.0,4372.0,4850.0,5201.0,6928.0,8053.0,5548.0
1,5,AL,Barbour County,6740.0,6843.0,6465.0,6324.0,6340.0,5672.0,5389.0,5285.0,5155.0,5333.0,4981.0,4959.0,4637.0,4415.0,4490.0,4788.0,4947.0,5268.0,5499.0,5056.0
1,7,AL,Bibb County,4175.0,4269.0,4336.0,4152.0,3848.0,2967.0,2577.0,2257.0,2410.0,2362.0,2116.0,1953.0,1765.0,1685.0,1631.0,1776.0,1999.0,2085.0,2503.0,2056.0
1,9,AL,Blount County,9037.0,9368.0,9425.0,8967.0,7283.0,5695.0,4690.0,4269.0,4291.0,3759.0,3527.0,3066.0,2637.0,2436.0,2593.0,2789.0,2926.0,3373.0,3665.0,2392.0
1,11,AL,Bullock County,2966.0,3023.0,3065.0,3039.0,2847.0,2553.0,2393.0,2292.0,2314.0,2295.0,2229.0,2242.0,2226.0,2124.0,2094.0,2124.0,2261.0,2666.0,2901.0,2564.0
1,13,AL,Butler County,5451.0,5719.0,5554.0,5402.0,5390.0,4378.0,3672.0,3526.0,3708.0,3560.0,3397.0,3342.0,3361.0,3407.0,3307.0,3235.0,3251.0,3748.0,4710.0,4221.0
1,15,AL,Calhoun County,25918.0,27006.0,26151.0,25252.0,22691.0,18382.0,15966.0,14889.0,14288.0,13662.0,13065.0,12235.0,11353.0,10339.0,10321.0,10910.0,11380.0,13225.0,14637.0,10161.0
1,17,AL,Chambers County,7624.0,7577.0,7942.0,8488.0,8263.0,6696.0,5740.0,5478.0,5216.0,4859.0,4940.0,4419.0,3952.0,3499.0,3659.0,3716.0,3756.0,4821.0,5153.0,3581.0
1,19,AL,Cherokee County,5434.0,5731.0,5671.0,5448.0,4937.0,4081.0,3645.0,3591.0,3466.0,3027.0,2828.0,2705.0,2540.0,2061.0,2011.0,2054.0,1971.0,1955.0,1892.0,1652.0
1,21,AL,Chilton County,9205.0,9463.0,9927.0,9962.0,8869.0,6859.0,5784.0,5211.0,5019.0,4585.0,4559.0,4411.0,3793.0,3555.0,3360.0,3576.0,3464.0,3986.0,4525.0,3096.0
1,23,AL,Choctaw County,3519.0,3606.0,3650.0,3364.0,3366.0,3057.0,2690.0,2803.0,2830.0,2704.0,2518.0,2392.0,2332.0,2161.0,2272.0,2270.0,2483.0,2592.0,3077.0,3071.0
1,25,AL,Clarke County,6970.0,6998.0,6637.0,6370.0,6183.0,5700.0,5182.0,5366.0,5239.0,5434.0,5157.0,4909.0,5209.0,5014.0,4925.0,4864.0,5144.0,5427.0,5975.0,4998.0
1,27,AL,Clay County,2319.0,2385.0,2334.0,2268.0,1921.0,1353.0,1105.0,977.0,909.0,909.0,969.0,893.0,936.0,862.0,793.0,814.0,979.0,981.0,1239.0,989.0
1,29,AL,Cleburne County,2805.0,2844.0,2734.0,2643.0,2243.0,1811.0,1552.0,1556.0,1433.0,1394.0,1368.0,1283.0,1188.0,977.0,957.0,1034.0,985.0,1153.0,1451.0,943.0
1,31,AL,Coffee County,7215.0,6970.0,6703.0,6375.0,5750.0,4652.0,4140.0,4003.0,4156.0,3939.0,3884.0,3692.0,3749.0,3511.0,3274.0,2811.0,3133.0,3521.0,3809.0,2877.0
1,33,AL,Colbert County,9869.0,10164.0,10006.0,9418.0,8537.0,6945.0,6161.0,6151.0,6293.0,6081.0,5709.0,5519.0,4920.0,4232.0,4009.0,3994.0,3897.0,4266.0,5044.0,3732.0
